127.0.0.1 - - [30/Mar/2023:22:15:03 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [30/Mar/2023:22:15:09 -0300] "GET /Vendas/faces/pages/fornecedorCadastro.xhtml HTTP/1.1" 200 10024
0:0:0:0:0:0:0:1 - - [30/Mar/2023:22:15:09 -0300] "GET /Vendas/faces/javax.faces.resource/estilos.css;jsessionid=A64E6B1655C0BD3F8932F920B9EB8FBF?ln=css HTTP/1.1" 200 68
0:0:0:0:0:0:0:1 - - [30/Mar/2023:22:15:09 -0300] "GET /Vendas/faces/javax.faces.resource/layout/layout.css;jsessionid=A64E6B1655C0BD3F8932F920B9EB8FBF?ln=primefaces&v=5.0 HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [30/Mar/2023:22:15:09 -0300] "GET /Vendas/faces/javax.faces.resource/jquery/jquery.js;jsessionid=A64E6B1655C0BD3F8932F920B9EB8FBF?ln=primefaces&v=5.0 HTTP/1.1" 200 108195
0:0:0:0:0:0:0:1 - - [30/Mar/2023:22:15:10 -0300] "GET /Vendas/faces/javax.faces.resource/layout/layout.js;jsessionid=A64E6B1655C0BD3F8932F920B9EB8FBF?ln=primefaces&v=5.0 HTTP/1.1" 200 87647
0:0:0:0:0:0:0:1 - - [30/Mar/2023:22:15:10 -0300] "GET /Vendas/faces/javax.faces.resource/jquery/jquery-plugins.js;jsessionid=A64E6B1655C0BD3F8932F920B9EB8FBF?ln=primefaces&v=5.0 HTTP/1.1" 200 220756
0:0:0:0:0:0:0:1 - - [30/Mar/2023:22:15:10 -0300] "GET /Vendas/faces/javax.faces.resource/theme.css?ln=primefaces-aristo HTTP/1.1" 200 28075
0:0:0:0:0:0:0:1 - - [30/Mar/2023:22:15:10 -0300] "GET /Vendas/faces/javax.faces.resource/primefaces.js;jsessionid=A64E6B1655C0BD3F8932F920B9EB8FBF?ln=primefaces&v=5.0 HTTP/1.1" 200 300675
0:0:0:0:0:0:0:1 - - [30/Mar/2023:22:15:10 -0300] "GET /Vendas/faces/javax.faces.resource/primefaces.css;jsessionid=A64E6B1655C0BD3F8932F920B9EB8FBF?ln=primefaces&v=5.0 HTTP/1.1" 200 55469
0:0:0:0:0:0:0:1 - - [30/Mar/2023:22:15:10 -0300] "GET /Vendas/faces/javax.faces.resource/images/ui-icons_38667f_256x240.png?ln=primefaces-aristo HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [30/Mar/2023:22:15:10 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [30/Mar/2023:22:15:48 -0300] "GET /Vendas/faces/templates/template.xhtml HTTP/1.1" 200 6355
0:0:0:0:0:0:0:1 - - [30/Mar/2023:22:15:48 -0300] "GET /Vendas/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=5.0 HTTP/1.1" 200 108195
0:0:0:0:0:0:0:1 - - [30/Mar/2023:22:15:48 -0300] "GET /Vendas/faces/javax.faces.resource/estilos.css?ln=css HTTP/1.1" 200 68
0:0:0:0:0:0:0:1 - - [30/Mar/2023:22:15:48 -0300] "GET /Vendas/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=5.0 HTTP/1.1" 200 55469
0:0:0:0:0:0:0:1 - - [30/Mar/2023:22:15:48 -0300] "GET /Vendas/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=5.0 HTTP/1.1" 200 220756
0:0:0:0:0:0:0:1 - - [30/Mar/2023:22:15:48 -0300] "GET /Vendas/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=5.0 HTTP/1.1" 200 300675
0:0:0:0:0:0:0:1 - - [30/Mar/2023:22:15:48 -0300] "GET /Vendas/faces/javax.faces.resource/layout/layout.css?ln=primefaces&v=5.0 HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [30/Mar/2023:22:15:48 -0300] "GET /Vendas/faces/javax.faces.resource/layout/layout.js?ln=primefaces&v=5.0 HTTP/1.1" 200 87647
0:0:0:0:0:0:0:1 - - [30/Mar/2023:22:16:21 -0300] "GET /Vendas/faces/templates/template.xhtml HTTP/1.1" 200 6355
0:0:0:0:0:0:0:1 - - [30/Mar/2023:22:16:42 -0300] "POST /Vendas/faces/templates/template.xhtml HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [30/Mar/2023:22:16:45 -0300] "GET /Vendas/faces/pages/fornecedorPesquisa.xhtml HTTP/1.1" 200 10799
0:0:0:0:0:0:0:1 - - [30/Mar/2023:22:16:51 -0300] "GET /Vendas/faces/pages/funcionarioPesquisa.xhtml HTTP/1.1" 200 11805
